Year,Month,Day,Day_of_the_Week,Holiday_Type,Holiday,Holiday_Encoding,Is_Holiday,1_0_Encoding,Holiday_Pattern,Holiday_Pattern_2,Arrival_Num,Departure_Num,DOM_Portion,INT_Portion,LCC_ratio,FSC_ratio,Late,Vehicle_Max,Up_Down,Tobit_Upper_Limit,Vehicle_Tobit,Vehicle_Tobit_Adjusted,TempAvg_C,Precip_mm,Temp_Precip_Interaction,airport,entry_count,exit_count,Unnamed: 28,entry_sum_14,exit_sum_14,Departure_Num(예측)
2014,2,25,2,,,0,0,0,,,14213,11959,0.5239497046590472,0.4760502953409528,0.434199071785577,0.565800928214423,0.1794519590367341,4802,-83,4511.0,4493.293840379632,4802.0,10.1,0.0,0.0,gimhae,,,,,,
2014,2,26,3,,,0,0,0,,,15358,14068,0.5278812132140306,0.4721187867859694,0.4310721184560194,0.5689278815439806,0.00326797385620915,4855,53,4511.0,4793.031876189921,4855.0,9.1,22.0,200.2,gimhae,,,,,,
2014,2,27,4,,,0,0,0,,,15996,15023,0.4779981016777594,0.5220018983222406,0.3977383686953893,0.6022616313046107,0.01885227775320654,4878,23,4511.0,4240.692239694496,4878.0,12.1,0.5,6.05,gimhae,,,,,,
2014,2,28,5,,,0,0,0,,,17327,14548,0.512791602484585,0.487208397515415,0.4156864577917209,0.584313542208279,0.02047720797720798,4868,-10,4511.0,4870.381933361984,4870.381933361984,9.8,0.1,0.9800000000000001,gimhae,,,,,,
2014,3,1,6,삼일절,H,0,1,1,Pattern_5,,15223,11585,0.489621652856947,0.510378347143053,0.4534785475961947,0.5465214524038053,0.0065359477124183,4964,96,4511.0,5015.46205774316,5015.46205774316,9.3,4.0,37.2,gimhae,,,,,,
2014,3,2,7,삼일절,A1,1,0,1,Pattern_5,,16525,11662,0.4800801821635154,0.5199198178364844,0.3972303159803159,0.602769684019684,0.09347643097643098,4640,-324,4511.0,5060.565341543277,5060.565341543277,8.1,0.5,4.05,gimhae,,,,,,
2014,3,3,1,,,0,0,0,,,13670,10164,0.5122063922236934,0.4877936077763067,0.4603621436233893,0.5396378563766107,0.009024064171122994,3650,-990,4511.0,4323.381123358202,3650.0,6.9,0.0,0.0,gimhae,,,,,,
2014,3,4,2,,,0,0,0,,,9894,8667,0.51435886297478,0.4856411370252201,0.3948415194954987,0.6051584805045013,0.0,3642,-8,4511.0,4338.989033410217,3642.0,7.8,2.0,15.6,gimhae,,,,,,
2014,3,5,3,,,0,0,0,,,9782,10399,0.5181244745258586,0.4818755254741414,0.4004467850488612,0.5995532149511389,0.0,3725,83,4511.0,4552.207834276323,3725.0,6.8,0.0,0.0,gimhae,,,,,,
2014,3,6,4,,,0,0,0,,,10771,13216,0.4788898961476816,0.5211101038523184,0.3969448659760079,0.6030551340239922,0.02375878158750131,3998,273,4511.0,4365.39920016331,3998.0,4.3,0.0,0.0,gimhae,,,,,,
2014,3,7,5,,,0,0,0,,,11918,13591,0.5276562446841085,0.4723437553158915,0.4026899613973917,0.5973100386026083,0.01405228758169935,4322,324,4511.0,5077.472288030262,4322.0,3.9,0.0,0.0,gimhae,,,,,,
2014,3,8,6,,,0,0,0,,,11688,11522,0.484284151066158,0.5157158489338419,0.4299168920276187,0.5700831079723813,0.0,4741,419,4511.0,4746.399746129701,4746.399746129701,5.0,0.0,0.0,gimhae,,,,,,
2014,3,9,7,,,0,0,0,,,14393,12387,0.467018045307519,0.532981954692481,0.3924562158114789,0.6075437841885211,0.02470862470862471,4539,-202,4511.0,4708.907770783119,4708.907770783119,5.7,0.0,0.0,gimhae,,,,,,
2014,3,10,1,,,0,0,0,,,13708,11393,0.530955405104012,0.4690445948959881,0.4619207417969027,0.5380792582030972,0.00729765590446705,3863,-676,4511.0,4584.443915336627,3863.0,4.9,0.0,0.0,gimhae,,,,,,
2014,3,11,2,,,0,0,0,,,10789,9620,0.5152697456330674,0.4847302543669326,0.4545094467239796,0.5454905532760205,0.0,3727,-136,4511.0,4388.869148404285,3727.0,8.7,0.0,0.0,gimhae,,,,,,
2014,3,12,3,,,0,0,0,,,10295,11166,0.5271533905298247,0.4728466094701753,0.4300451993927681,0.5699548006072319,0.02853948596982652,3749,22,4511.0,4620.325674216878,3749.0,11.5,28.5,327.75,gimhae,,,,,,
2014,3,13,4,,,0,0,0,,,11715,13879,0.4884580481033768,0.5115419518966232,0.4208257812929093,0.5791742187070907,0.01554003954522986,4115,366,4511.0,4575.871306736233,4115.0,5.5,30.0,165.0,gimhae,,,,,,
2014,3,14,5,,,0,0,0,,,12394,14631,0.5353088088382206,0.4646911911617794,0.441322403087109,0.558677596912891,0.02678424516659811,4494,379,4511.0,5167.115448657752,4494.0,5.2,0.0,0.0,gimhae,,,,,,
2014,3,15,6,,,0,0,0,,,12000,12139,0.4761534942907492,0.5238465057092507,0.4632539029597853,0.5367460970402147,0.005050505050505051,4803,309,4511.0,4592.438645737205,4803.0,8.6,0.0,0.0,gimhae,,,,,,
2014,3,16,7,,,0,0,0,,,15105,12809,0.5080492220198103,0.4919507779801897,0.4398244729127082,0.5601755270872918,0.004524886877828055,4607,-196,4511.0,5016.400604321817,5016.400604321817,12.4,0.0,0.0,gimhae,,,,,,
2014,3,17,1,,,0,0,0,,,14625,13027,0.5196474325367059,0.4803525674632941,0.4580958881564418,0.5419041118435581,0.007878151260504201,3948,-659,4511.0,4227.118880259924,3948.0,13.7,0.2,2.74,gimhae,,,,,,
2014,3,18,2,,,0,0,0,,,11365,11473,0.5261320378967438,0.4738679621032562,0.4261929247223365,0.5738070752776635,0.003676470588235294,3913,-35,4511.0,4328.373861334107,3913.0,14.5,1.0,14.5,gimhae,,,,,,
2014,3,19,3,,,0,0,0,,,11842,12461,0.5171764798062375,0.4828235201937625,0.4325413677057275,0.5674586322942724,0.02394788986484488,3931,18,4511.0,4532.602592362255,3931.0,9.6,0.0,0.0,gimhae,,,,,,
2014,3,20,4,,,0,0,0,,,13895,14855,0.4818508385117382,0.5181491614882618,0.40697979932409,0.59302020067591,0.02046465645081562,4265,334,4511.0,4381.543849444825,4265.0,7.8,4.0,31.2,gimhae,,,,,,
2014,3,21,5,,,0,0,0,,,14839,15182,0.5211771317171062,0.4788228682828938,0.4329324361467869,0.5670675638532131,0.008726567550096962,4643,378,4511.0,4999.795422388679,4999.795422388679,7.2,0.0,0.0,gimhae,,,,,,
2014,3,22,6,,,0,0,0,,,13225,13077,0.5001161612320781,0.4998838387679219,0.4902426293429753,0.5097573706570246,0.0,4951,308,4511.0,4870.88045216402,4951.0,9.6,0.0,0.0,gimhae,,,,,,
2014,3,23,7,,,0,0,0,,,15393,14738,0.5242818167991179,0.4757181832008821,0.4427761828713386,0.5572238171286614,0.04368670545141134,4816,-135,4511.0,5171.078923114214,5171.078923114214,13.4,0.0,0.0,gimhae,,,,,,
2014,3,24,1,,,0,0,0,,,15509,14328,0.5157705616183125,0.4842294383816875,0.4541510728794466,0.5458489271205534,0.01270053475935829,4181,-635,4511.0,4202.152478474951,4181.0,13.6,0.0,0.0,gimhae,,,,,,
2014,3,25,2,,,0,0,0,,,12354,12741,0.5056953108810693,0.4943046891189307,0.4451891074182096,0.5548108925817905,0.00942684766214178,4115,-66,4511.0,4166.070645078491,4115.0,14.6,13.5,197.1,gimhae,,,,,,
2014,3,26,3,,,0,0,0,,,13809,13566,0.5192462477929606,0.4807537522070393,0.4137367006311643,0.5862632993688357,0.0312755871579401,4221,106,4511.0,4433.608446318911,4221.0,15.3,10.5,160.65,gimhae,,,,,,
2014,3,27,4,,,0,0,0,,,14293,14459,0.4193057673650422,0.5806942326349578,0.3632207114718022,0.6367792885281979,0.2195465288101064,4357,136,4511.0,3482.36913246816,4357.0,14.2,0.0,0.0,gimhae,,,,,,
2014,3,28,5,,,0,0,0,,,14974,14763,0.5103947235002598,0.4896052764997401,0.4249779680143002,0.5750220319856998,0.1481036504825432,4677,320,4511.0,4619.64434010679,4677.0,16.3,0.0,0.0,gimhae,,,,,,
